,emote,signifier,enchancedSentiment,positiveScore,neutralScore,negativeScore,Freq
53,🥶, cold_face ,-0.35839999999999994,0.259,0.259,0.6292500000000001,1
54,💥, collision ,-0.6187363636363638,0.27490909090909094,0.27490909090909094,0.7043636363636364,11
55,🎊, confetti_ball ,0.907825,0.17675000000000002,0.17675000000000002,0.0,4
56,😕, confused_face ,-0.34,0.455,0.455,0.545,1
57,🍳, cooking ,0.0,1.0,1.0,0.0,3
58,🐮, cow_face ,0.6597,0.707,0.707,0.0,3
59,🤠, cowboy_hat_face ,0.8572166666666666,0.322,0.322,0.0075,12
60,🌙, crescent_moon ,0.6545857142857143,0.5364285714285715,0.5364285714285715,0.0,7
61,❌, cross_mark ,0.4273,0.5926666666666667,0.5926666666666667,0.13733333333333334,1
62,❌, cross_mark ,0.4273,0.5926666666666667,0.5926666666666667,0.13733333333333334,2
63,🤞, crossed_fingers ,0.5467,0.5073076923076922,0.5073076923076922,0.0025384615384615385,13
64,👑, crown ,-0.0256,0.889,0.889,0.0676,1
65,👑, crown ,-0.0256,0.889,0.889,0.0676,4
66,😢, crying_face ,-0.5397000000000001,0.42992307692307696,0.42992307692307696,0.550846153846154,1
67,😢, crying_face ,-0.5397000000000001,0.42992307692307696,0.42992307692307696,0.550846153846154,12
68,🔮, crystal_ball ,0.339925,0.60725,0.60725,0.0,4
69,💨, dashing_away ,0.5963727272727274,0.2005454545454545,0.2005454545454545,0.0,11
70,🌳, deciduous_tree ,0.7269,0.123,0.123,0.0,1
71,🦌, deer ,0.0,1.0,1.0,0.0,1
72,🏚, derelict_house ,-0.4767,0.829,0.829,0.171,1
73,🏜, desert ,0.0,1.0,1.0,0.0,1
74,🕵, detective ,0.1531,0.556,0.556,0.0,3
75,💠, diamond_with_a_dot ,0.3341,0.605,0.605,0.151,3
76,🎯, direct_hit ,0.4767,0.392,0.392,0.0,1
77,😞, disappointed_face ,-0.25434285714285715,0.562142857142857,0.562142857142857,0.39199999999999996,6
78,😞, disappointed_face ,-0.25434285714285715,0.562142857142857,0.562142857142857,0.39199999999999996,1
79,😵, dizzy_face ,0.0,0.606,0.606,0.197,1
80,💵, dollar_banknote ,0.6865580645161287,0.5270645161290324,0.5270645161290324,0.013967741935483873,31
81,⬇, down_arrow ,0.28040000000000004,0.183,0.183,0.1645,1
82,⬇, down_arrow ,0.28040000000000004,0.183,0.183,0.1645,1
83,😓, downcast_face_with_sweat ,-0.3601285714285714,0.5355714285714285,0.5355714285714285,0.4465714285714286,7
