,0,1,2,3
128,629362548919107584,ningning#8888,Lego,2020-11-25T22:26:02.140000+00:00
129,208746586233241600,Alpha190#0698,PLTR call came in clutch,2020-11-26T04:50:30.495000+00:00
130,269575947823349761,wetlqd#7618,So this was rolled on Nov 25 mid session. 👇🏼,2020-11-27T15:05:28.907000+00:00
131,269575947823349761,wetlqd#7618,This is the new position 1 hr into trading. 👇🏼,2020-11-27T15:05:46.711000+00:00
132,629362548919107584,ningning#8888,Lego,2020-11-25T22:26:02.140000+00:00
133,208746586233241600,Alpha190#0698,PLTR call came in clutch,2020-11-26T04:50:30.495000+00:00
134,269575947823349761,wetlqd#7618,So this was rolled on Nov 25 mid session. 👇🏼,2020-11-27T15:05:28.907000+00:00
135,269575947823349761,wetlqd#7618,This is the new position 1 hr into trading. 👇🏼,2020-11-27T15:05:46.711000+00:00
136,629362548919107584,ningning#8888,Lego,2020-11-25T22:26:02.140000+00:00
137,208746586233241600,Alpha190#0698,PLTR call came in clutch,2020-11-26T04:50:30.495000+00:00
138,269575947823349761,wetlqd#7618,So this was rolled on Nov 25 mid session. 👇🏼,2020-11-27T15:05:28.907000+00:00
139,612337363326074936,Trademate#2515,<@119546878445486081> has reached level **4**!,2020-11-25T19:00:46.819000+00:00
140,629362548919107584,ningning#8888,Lego,2020-11-25T22:26:02.140000+00:00
141,208746586233241600,Alpha190#0698,PLTR call came in clutch,2020-11-26T04:50:30.495000+00:00
142,119546878445486081,Eyesoul#5306,Fucking ningning 😭👍🏾,2020-11-25T19:00:46.647000+00:00
143,612337363326074936,Trademate#2515,<@119546878445486081> has reached level **4**!,2020-11-25T19:00:46.819000+00:00
144,629362548919107584,ningning#8888,Lego,2020-11-25T22:26:02.140000+00:00
145,119546878445486081,Eyesoul#5306,Fucking ningning 😭👍🏾,2020-11-25T19:00:46.647000+00:00
146,612337363326074936,Trademate#2515,<@119546878445486081> has reached level **4**!,2020-11-25T19:00:46.819000+00:00
147,612337363326074936,Trademate#2515,<@119546878445486081> has reached level **3**!,2020-11-25T18:10:19.518000+00:00
148,119546878445486081,Eyesoul#5306,Fucking ningning 😭👍🏾,2020-11-25T19:00:46.647000+00:00
149,612337363326074936,Trademate#2515,<@119546878445486081> has reached level **4**!,2020-11-25T19:00:46.819000+00:00
150,119546878445486081,Eyesoul#5306,I’m starting to see gaiiiinssss,2020-11-25T18:10:19.308000+00:00
151,612337363326074936,Trademate#2515,<@119546878445486081> has reached level **3**!,2020-11-25T18:10:19.518000+00:00
152,119546878445486081,Eyesoul#5306,Fucking ningning 😭👍🏾,2020-11-25T19:00:46.647000+00:00
153,612337363326074936,Trademate#2515,<@119546878445486081> has reached level **4**!,2020-11-25T19:00:46.819000+00:00
154,726683522839871498,Don J ♠#1980,<@!464449226521313292> thank you !,2020-11-25T18:07:07.726000+00:00
155,119546878445486081,Eyesoul#5306,I’m starting to see gaiiiinssss,2020-11-25T18:10:19.308000+00:00
156,612337363326074936,Trademate#2515,<@119546878445486081> has reached level **3**!,2020-11-25T18:10:19.518000+00:00
157,119546878445486081,Eyesoul#5306,Fucking ningning 😭👍🏾,2020-11-25T19:00:46.647000+00:00
158,488359813160501251,Merente#5844,Heh...figured what the hell...little 50% gainer for my blown up account that I'm trying to slowly recover,2020-11-25T17:38:22.721000+00:00
159,726683522839871498,Don J ♠#1980,<@!464449226521313292> thank you !,2020-11-25T18:07:07.726000+00:00
160,119546878445486081,Eyesoul#5306,I’m starting to see gaiiiinssss,2020-11-25T18:10:19.308000+00:00
161,612337363326074936,Trademate#2515,<@119546878445486081> has reached level **3**!,2020-11-25T18:10:19.518000+00:00
162,488359813160501251,Merente#5844,40% from <@464449226521313292> here!  I still really like this play and might get back into it if the contract comes back down,2020-11-25T16:09:53.359000+00:00
163,488359813160501251,Merente#5844,Heh...figured what the hell...little 50% gainer for my blown up account that I'm trying to slowly recover,2020-11-25T17:38:22.721000+00:00
164,726683522839871498,Don J ♠#1980,<@!464449226521313292> thank you !,2020-11-25T18:07:07.726000+00:00
165,119546878445486081,Eyesoul#5306,I’m starting to see gaiiiinssss,2020-11-25T18:10:19.308000+00:00
166,612337363326074936,Trademate#2515,<@119546878445486081> has reached level **3**!,2020-11-25T18:10:19.518000+00:00
167,488359813160501251,Merente#5844,40% from <@464449226521313292> here!  I still really like this play and might get back into it if the contract comes back down,2020-11-25T16:09:53.359000+00:00
168,488359813160501251,Merente#5844,Heh...figured what the hell...little 50% gainer for my blown up account that I'm trying to slowly recover,2020-11-25T17:38:22.721000+00:00
169,726683522839871498,Don J ♠#1980,<@!464449226521313292> thank you !,2020-11-25T18:07:07.726000+00:00
170,119546878445486081,Eyesoul#5306,I’m starting to see gaiiiinssss,2020-11-25T18:10:19.308000+00:00
171,488359813160501251,Merente#5844,40% from <@464449226521313292> here!  I still really like this play and might get back into it if the contract comes back down,2020-11-25T16:09:53.359000+00:00
172,488359813160501251,Merente#5844,Heh...figured what the hell...little 50% gainer for my blown up account that I'm trying to slowly recover,2020-11-25T17:38:22.721000+00:00
173,726683522839871498,Don J ♠#1980,<@!464449226521313292> thank you !,2020-11-25T18:07:07.726000+00:00
174,488359813160501251,Merente#5844,40% from <@464449226521313292> here!  I still really like this play and might get back into it if the contract comes back down,2020-11-25T16:09:53.359000+00:00
175,488359813160501251,Merente#5844,Heh...figured what the hell...little 50% gainer for my blown up account that I'm trying to slowly recover,2020-11-25T17:38:22.721000+00:00
176,674648888279302204,GOOFYSPY#8332,PLTR ...OUT AT 120%,2020-11-25T14:55:54.026000+00:00
177,488359813160501251,Merente#5844,40% from <@464449226521313292> here!  I still really like this play and might get back into it if the contract comes back down,2020-11-25T16:09:53.359000+00:00
178,233095871628050433,jibroni#0841,Good stuff in Voice chat this morning,2020-11-25T14:49:39.143000+00:00
